date,GLD,SPY,TSLA,BRK-B,AAPL
2023-01-03,171.06,380.82,108.1,309.91,125.07
2023-01-04,172.67,383.76,113.64,314.55,126.36
2023-01-05,170.52,379.38,110.34,312.9,125.02
2023-01-06,173.71,388.08,113.06,318.69,129.62
2023-01-09,174.1,387.86,119.77,315.53,130.15
2023-01-10,174.74,390.58,118.85,316.35,130.73
2023-01-11,174.62,395.52,123.22,320.37,133.49
2023-01-12,176.64,396.96,123.56,318.93,133.41
2023-01-13,178.76,398.5,122.4,317.64,134.76
2023-01-17,177.59,397.77,131.49,314.86,135.94
2023-01-18,177.08,391.49,128.78,308.3,135.21
2023-01-19,179.89,388.64,127.17,305.23,135.27
2023-01-20,179.29,395.88,133.42,309.87,137.87
2023-01-23,179.63,400.63,143.75,310.42,141.11
2023-01-24,180.28,400.2,143.89,311.3,142.53
2023-01-25,181.11,400.35,144.43,311.9,141.86
2023-01-26,179.47,404.75,160.27,310.95,143.96
2023-01-27,179.22,405.68,177.9,309.17,145.93
2023-01-30,178.76,400.59,166.66,307.33,143.0
2023-01-31,179.41,406.48,173.22,311.52,144.29
2023-02-01,181.67,410.8,181.41,310.57,145.43
2023-02-02,177.9,416.78,188.27,311.86,150.82
2023-02-03,173.46,412.35,189.98,308.51,154.5
2023-02-06,173.82,409.83,194.76,308.43,151.73
2023-02-07,173.98,415.19,196.81,312.97,154.65
2023-02-08,174.41,410.65,201.29,308.48,151.92
2023-02-09,173.03,407.09,207.32,307.21,150.87
2023-02-10,173.36,408.04,196.89,309.89,151.01
2023-02-13,172.48,412.83,194.64,313.74,153.85
2023-02-14,172.61,412.64,209.25,310.79,153.2
2023-02-15,170.89,413.98,214.24,309.63,155.33
2023-02-16,170.75,408.28,202.04,308.18,153.71
2023-02-17,171.26,407.26,208.31,308.24,152.55
2023-02-21,170.62,399.09,197.37,302.72,148.48
2023-02-22,169.66,398.54,200.86,303.16,148.91
2023-02-23,169.57,400.66,202.07,303.07,149.4
2023-02-24,168.35,396.38,196.88,304.02,146.71
2023-02-27,169.01,397.73,207.63,304.66,147.92
2023-02-28,169.78,396.26,205.71,305.18,147.41
2023-03-01,170.76,394.74,202.77,304.62,145.31
2023-03-02,170.66,397.81,190.9,307.75,145.91
2023-03-03,172.49,404.19,197.79,312.45,151.03
2023-03-06,171.62,404.47,193.81,316.97,153.83
2023-03-07,168.62,398.27,187.71,311.12,151.6
2023-03-08,168.54,398.92,182.0,311.37,152.87
2023-03-09,170.2,391.56,172.92,304.82,150.59
2023-03-10,173.87,385.91,173.44,303.63,148.5
2023-03-13,177.86,385.36,174.48,302.88,150.47
2023-03-14,176.83,391.73,183.26,305.33,152.59
2023-03-15,178.21,389.28,180.45,297.88,152.99
2023-03-16,178.57,396.11,184.13,302.01,155.85
2023-03-17,183.77,389.99,180.13,293.51,155.0
2023-03-20,183.84,393.74,183.25,301.06,157.4
2023-03-21,180.37,398.91,197.58,303.85,159.28
2023-03-22,183.44,392.11,191.15,299.73,157.83
2023-03-23,185.74,393.17,192.22,298.37,158.93
2023-03-24,183.65,395.75,190.41,298.92,160.25
2023-03-27,181.95,396.49,191.81,302.14,158.28
2023-03-28,183.44,395.6,189.19,302.32,157.65
2023-03-29,182.53,401.35,193.88,305.3,160.77
2023-03-30,184.18,403.7,195.28,305.08,162.36
2023-03-31,183.22,409.39,207.46,308.77,164.9
2023-04-03,184.54,410.95,194.77,310.31,166.17
2023-04-04,187.98,408.67,192.58,309.07,165.63
2023-04-05,187.83,407.6,185.52,310.39,163.76
2023-04-06,186.49,409.19,185.06,312.51,164.66
2023-04-10,185.11,409.61,184.51,312.62,162.03
2023-04-11,186.28,409.72,186.79,313.7,160.8
2023-04-12,187.19,408.05,180.54,314.55,160.1
2023-04-13,189.72,413.47,185.9,318.05,165.56
2023-04-14,186.36,412.46,185.0,319.74,165.21
2023-04-17,185.53,413.94,187.04,323.79,165.23
2023-04-18,186.25,414.21,184.31,324.63,166.47
2023-04-19,185.36,414.14,180.59,323.09,167.63
2023-04-20,186.09,411.88,162.99,323.82,166.65
2023-04-21,184.25,412.2,165.08,324.33,165.02
2023-04-24,184.81,412.63,162.55,326.05,165.33
2023-04-25,185.75,406.08,160.67,324.34,163.77
2023-04-26,184.74,404.36,153.75,320.53,163.76
2023-04-27,184.75,412.41,160.19,326.23,168.41
2023-04-28,184.8,415.93,164.31,328.55,169.68
2023-05-01,183.97,415.51,161.83,330.17,169.59
2023-05-02,187.52,410.84,160.31,325.86,168.54
2023-05-03,189.11,408.02,160.61,323.22,167.45
2023-05-04,190.44,405.13,161.2,320.0,165.79
2023-05-05,187.46,412.63,170.06,323.88,173.57
2023-05-08,187.69,412.74,171.79,326.14,173.5
2023-05-09,189.02,410.93,169.15,324.87,171.77
2023-05-10,188.75,412.85,168.54,322.99,173.555
2023-05-11,187.13,412.13,172.08,322.64,173.75
2023-05-12,186.81,411.59,167.98,322.49,172.57
2023-05-15,187.21,413.01,166.35,323.53,172.07
2023-05-16,184.87,410.25,166.52,323.75,172.07
2023-05-17,184.23,415.23,173.86,327.39,172.69
2023-05-18,181.84,419.23,176.89,329.76,175.05
2023-05-19,183.64,418.62,180.14,330.39,175.16
2023-05-22,183.21,418.79,188.87,329.13,174.2
2023-05-23,183.43,414.09,185.77,323.11,171.56
2023-05-24,181.95,411.09,182.9,320.2,171.84
2023-05-25,180.2,414.65,184.47,319.02,172.99
2023-05-26,180.92,420.02,193.17,320.6,175.43
2023-05-30,182.04,420.18,201.16,322.19,177.3
2023-05-31,182.32,417.85,203.93,321.08,177.25
2023-06-01,183.76,421.82,207.52,323.12,180.09
2023-06-02,181.05,427.92,213.97,329.48,180.95
2023-06-05,182.14,427.1,217.61,328.58,179.58
2023-06-06,182.34,428.03,221.31,333.41,179.21
2023-06-07,180.15,426.55,224.57,335.42,177.82
2023-06-08,182.53,429.13,234.86,335.95,180.57
2023-06-09,182.04,429.9,244.4,335.29,180.96
2023-06-12,181.88,433.8,249.83,333.6,183.79
2023-06-13,180.54,436.66,258.71,336.39,183.31
2023-06-14,180.64,437.18,256.79,335.9,183.95
2023-06-15,181.91,442.6,255.9,339.82,186.01
2023-06-16,181.63,439.46,260.54,338.31,184.92
2023-06-20,179.75,437.18,274.45,338.67,185.01
2023-06-21,179.49,434.94,259.46,338.61,183.96
2023-06-22,177.71,436.51,264.61,336.96,187.0
2023-06-23,178.2,433.21,256.6,335.25,186.68
2023-06-26,178.51,431.44,241.05,334.12,185.27
2023-06-27,177.69,436.17,250.21,335.34,188.06
2023-06-28,177.28,436.39,256.24,334.15,189.25
2023-06-29,177.09,438.11,257.5,336.91,189.59
2023-06-30,178.27,443.28,261.77,341.0,193.97
2023-07-03,178.47,443.79,279.82,342.0,192.46
2023-07-05,177.84,443.13,282.48,341.56,191.33
2023-07-06,177.31,439.66,276.54,341.46,191.81
2023-07-07,178.64,438.55,274.43,340.9,190.68
2023-07-10,178.78,439.66,269.61,341.13,188.61
2023-07-11,179.45,442.46,269.79,343.37,188.08
2023-07-12,181.88,446.02,271.99,345.35,189.77
2023-07-13,182.01,449.56,277.9,343.54,190.54
2023-07-14,181.43,449.28,281.38,341.09,190.69
2023-07-17,181.56,450.84,290.38,344.25,193.99
2023-07-18,183.64,454.19,293.34,345.34,193.73
2023-07-19,183.67,455.2,291.26,342.43,195.1
2023-07-20,182.74,452.18,262.9,346.61,193.13
2023-07-21,182.18,452.18,260.02,345.76,191.94
2023-07-24,181.4,454.2,269.06,349.63,192.75
2023-07-25,182.41,455.44,265.28,347.58,193.62
2023-07-26,183.3,455.51,264.35,349.8,194.5
2023-07-27,180.42,452.49,255.71,349.31,193.22
2023-07-28,181.86,456.92,266.44,349.81,195.83
2023-07-31,182.35,457.79,267.43,351.96,196.45
2023-08-01,180.46,456.48,261.07,352.26,195.605
2023-08-02,179.6,450.13,254.11,351.19,192.58
2023-08-03,179.54,448.84,259.32,353.81,191.17
2023-08-04,180.19,446.81,253.86,349.99,181.99
2023-08-07,179.78,450.71,251.45,362.58,178.85
2023-08-08,178.64,448.75,249.7,363.73,179.8
2023-08-09,177.79,445.75,242.19,358.02,178.19
2023-08-10,177.6,445.91,245.34,356.98,177.97
2023-08-11,177.6,445.65,242.65,358.35,177.79
2023-08-14,177.06,448.11,239.76,358.48,179.46
2023-08-15,176.59,442.89,232.96,354.5,177.45
2023-08-16,175.57,439.64,225.6,354.11,176.57
2023-08-17,175.3,436.29,219.22,353.19,174.0
2023-08-18,175.33,436.5,215.49,352.56,174.49
2023-08-21,175.81,439.34,231.28,352.09,175.84
2023-08-22,176.1,438.15,233.19,350.57,177.23
2023-08-23,177.89,443.03,236.86,354.26,181.12
2023-08-24,177.85,436.89,230.04,354.3,176.38
2023-08-25,177.62,439.97,238.59,355.93,178.61
2023-08-28,178.13,442.76,238.82,355.55,180.19
2023-08-29,179.87,449.16,257.18,358.29,184.12
2023-08-30,180.32,451.01,256.9,361.06,187.65
2023-08-31,180.02,450.35,258.08,360.2,187.87
2023-09-01,180.11,451.19,245.01,362.46,189.46
2023-09-05,178.64,449.24,256.49,360.47,189.7
2023-09-06,177.83,446.22,251.92,361.67,182.91
2023-09-07,178.02,444.85,251.49,361.8,177.56
2023-09-08,178.08,445.52,248.5,363.15,178.18
2023-09-11,178.41,448.45,273.58,365.52,179.36
2023-09-12,177.49,445.99,267.48,367.78,176.3
2023-09-13,177.08,446.51,271.3,367.82,174.21
2023-09-14,177.17,450.36,276.04,369.5,175.74
2023-09-15,178.34,443.37,274.39,367.86,175.01
2023-09-18,179.39,443.63,265.28,370.43,177.97
2023-09-19,179.22,442.71,266.5,370.48,179.07
2023-09-20,179.35,438.64,262.59,366.82,175.49
2023-09-21,178.05,431.39,255.7,363.28,173.93
2023-09-22,178.62,430.42,244.88,360.16,174.79
2023-09-25,177.7,432.23,246.99,361.71,176.08
2023-09-26,176.28,425.88,244.12,359.42,171.96
2023-09-27,174.1,426.05,240.5,357.78,170.43
